modzcta,score,median_income
10001,57.17910448,92840
10002,31.42708333,36982
10003,47.55121951,118161
10009,37.74647887,63717
10010,59.41958042,132988
10011,49.90134529,138272
10012,49.38554217,106467
10013,48.3442623,113191
10014,52.68224299,133501
10016,57.68613139,126628
10017,52.02702703,131045
10018,62.03921569,122484
10019,42.77727273,103792
10021,53.21546961,122169
10022,53.93536122,150718
10023,60.24590164,132605
10024,60.99616858,143623
10025,62.28116711,91624
10026,52.86111111,59691
10027,52.72891566,51938
10028,51.87845304,122969
10029,37.00909091,33720
10030,41.77464789,42348
10031,48.20093458,53660
10032,53.02713178,53525
10033,50.8553719,63093
10034,48.74226804,54406
10035,36.73404255,29799
10036,42.20348837,95301
10038,46.71212121,95702
10040,47.575,49677
10065,43.32283465,148441
10075,50.10434783,138640
10128,53.30890052,121829
10301,39.2,62052
10451,45.34862385,30349
10452,44.51373626,29579
10453,44.09537572,29136
10454,31.22727273,21447
10455,40.74242424,28585
10456,37.81640625,27917
10457,43.72527473,29767
10458,52.14285714,35423
10459,41.31428571,29284
10460,41.57142857,27545
10461,45.34285714,58305
10462,47.65151515,54278
10463,52.11418685,58408
10466,40.6625,58393
10467,50.02925532,39372
10468,48.44542773,37804
10471,60,88722
10472,33.31496063,33498
10473,32.33846154,41508
10474,37.66197183,22965
11101,41.4279476,75581
11102,43.80821918,71382
11104,58.49,67751
11105,45.19230769,79883
11106,43.23300971,68530
11201,53.99502488,129248
11203,36.04854369,54457
11204,42.3853211,53093
11205,49.70512821,58872
11206,38.54676259,39753
11207,28.01123596,39382
11209,57.62051282,77917
11210,50.49253731,69385
11211,47.59183673,81228
11212,32.30769231,26521
11213,46.40506329,44831
11214,43.60150376,56911
11215,53,132091
11216,40.51351351,67795
11217,48.23333333,119375
11218,55.5,73470
11219,44.15753425,40683
11220,45.20833333,50191
11221,43.73267327,56900
11222,44.82758621,93488
11223,58.45263158,54023
11224,32.96428571,32549
11225,49.42346939,59820
11226,50.77386935,58257
11229,52.18823529,64631
11230,51.42957746,53070
11232,42.31147541,61200
11233,33.08108108,44905
11235,57.46976744,54646
11237,53.45454545,53303
11238,54.13245033,91846
11354,41.40268456,40786
11355,52.68965517,42507
11357,51.38095238,85818
11368,54.59016393,54211
11372,54.08,60659
11373,52.12837838,54584
11374,57.81730769,66795
11375,61.91904762,84713
11377,48.54330709,58948
11378,34.64935065,77710
11385,33.54545455,75340
11415,61.90140845,70900
11432,47.00840336,62148
11435,50.14285714,66137
11691,43.25609756,50267
